kategori,subkategori,tanggal,jam,latitude,longitude,tempat kejadian,nama kapal,bendera kapal,jenis kapal,berat kapal,IMO,Call Sign,MMSI,status kapal,nama perusahaan,nama pemilik,pelabuhan terakhir,pelabuhan tujuan,kapten kapal,kewarganegaraan,jumlah kru,pok/org afiliasi,modus operandi,sumber_klasifikasi_berita,isi_berita,pemeriksa,kapal penangkap
Imigran Ilegal,,19/05/2016,02:10,108.8326,-5.59395,Laut Jawa,USS Sherman,Nauru,Kpl Penyelamat/Lifeboat,199,IMO 36142,QMH9149,94834,Sandar,PT. Perishable Logistics Indonesia,Johannes Flum,Buano,Sungai Pakning,A. Waksman,Micronesia,,,,D,4,Polri,Survey/Kpl Survei
Imigran Ilegal,,08/04/2019,01:50,129.1327365,-6.83313159,Laut Banda,SS Bardic,Djibouti,Penumpang,105,IMO 14342,BYK11195,98681,Lego,"PT. Wicaksana Overseas International, Tbk",Muhammad Salehuddin II,Sibadeh,Sapeken,Kaori,The Bahamas,,,,B,3,TNI AD,Kargo/Barang
Imigran Ilegal,,15/02/2016,19:35,136.8445579,0.77648719,Laut Halmahera,"SS Gallina, LNG Tanker",South Africa,Kpl Ro-Ro,232,IMO 17849,LRG21326,39833,Layar,PT. Global Artha Abadi,Anggraeni,Gunung Sitoli,Merauke,God Bless,Singapore,,,,E,2,TNI AU,Kpl Derek/Crane
Imigran Ilegal,,24/10/2017,04:35,135.0986502,1.3929788,Laut Halmahera,Aranui 3,Faroe Is.,Kpl Kayu,242,IMO 57817,UXS241710,97375,Sandar,PT. Lintas Nusa Ekspress,Rosa Parks,Nunukan/Tunon Taka,Karangantu,Serzh Sargsyan,Western Sahara,,,,A,6,Bakamla,Kpl Ikan
Imigran Ilegal,,26/03/2019,19:05,110.24406,-4.58498,Laut Jawa,MCP Altona,Gibraltar,Kpl Ikan,218,IMO 43779,WHW14255,96971,Sandar,PT. Pumasera Mitra Sejahtera,Michelle Branch,Kalianget,Kuala Langsa,Guilherme Maria Gonalves,Comoros,,,,D,3,TNI AD,Kpl Pengeruk/Dredger
Imigran Ilegal,,18/06/2019,13:35,127.2736218,-6.36466781,Laut Banda,Hansa Carrier,Portugal,Supply Ship,152,IMO 82115,TKZ161418,45986,Layar,PT. Aix Indologis Exspress,Taecyeon,Lurang,Sampit,Rio Agung Pangestu Hamdan,South Africa,,,,E,1,TNI,Kargo/Barang
Imigran Ilegal,,30/08/2019,05:10,122.3622515,4.34441224,Laut Sulawesi,MV Vikartindur,Suriname,Kpl Militer,229,IMO 43279,WZF20246,16931,Layar,PT. Fama Persada,Karabelas,Budong-Budong,Sapudi,Cyrille Pierre Thodore,Moldova,,,,B,4,TNI,Tug Boat/Kpl Tunda
Imigran Ilegal,,21/10/2016,16:15,119.7724701,-7.54300737,Laut Flores,Olga Mærsk (1948),Malawi,Kpl Layar,234,IMO 69466,MWQ142122,57771,Lego,PT. Risa Pratama Nusantara,Ayu Permata Sari,Tanjung Priok,Jayapura,Huygens,Rwanda,,,,C,5,TNI AU,Supply Ship
Imigran Ilegal,,29/01/2016,23:10,118.7656855,-6.87689336,Laut Flores,MV Craigantlet,Bulgaria,Bulker/Kpl Pengangkut Barang Curah,196,IMO 87243,WIZ1221,72677,Lego,PT. Tunas Sejahtera Logistics,Makki,Amamapare,Tanjung Balai Karimun,Bacharuddin,Montenegro,,,,A,3,TNI AL,Kpl Pengeruk/Dredger
Imigran Ilegal,,19/02/2016,06:30,110.41537,-5.13448,Laut Jawa,USS Sherman,United Arab Emirates,Tug Boat/Kpl Tunda,190,IMO 91634,SVS24114,77315,Sandar,PT. ACC Express,Mammed Amin,Bukide,Idi,Hitomi,Vanuatu,,,,E,2,Bea Cukai,Kpl Pengebor/Drillship
Imigran Ilegal,,01/09/2015,06:05,120.4375529,2.0901392,Laut Sulawesi,SS Galeic,Virgin Is.,Kpl Pengebor/Drillship,224,IMO 88741,HXV2512,36634,Lego,PT. Pesan Delivery Indonesia,Subrata,Tanjung Balai Asahan,Tuhaha,Rayhan,Tonga,,,,D,1,TNI AD,Kpl Ro-Ro
Imigran Ilegal,,04/12/2018,21:10,111.4817,-3.51793,Laut Jawa,MV Empire MacKay,Mauritania,Kpl Militer,188,IMO 29833,ZQW12322,32464,Lego,PT. Nirwana Indah Cemerlang,Bogdanov,Pemenang,Belopa,Melza,Mauritius,,,,F,3,Bakamla,Kpl Selam
Imigran Ilegal,,16/04/2014,07:25,117.5780576,-7.03882113,Laut Flores,SS Belgic ||||,Bolivia,Survey/Kpl Survei,237,IMO 64878,CBE23715,98755,Lego,PT. Rajawali Dirgantara Perkasa,Nagisa Oshima,Sebalang,Talang Duku,Shyla,Singapore,,,,F,6,TNI AD,Kpl Pengeruk/Dredger
Imigran Ilegal,,15/05/2016,23:45,130.8376308,0.09793087,Laut Halmahera,USS Bali (ID-2483),Niue,Tongkang,221,IMO 18546,BNG242414,39919,Lego,PT. Biro Grata Mandiri,Ginta,Kuala Gaung,Benjina,Guelleh,Guadeloupe,,,,F,5,Bakamla,Speed Boat
Imigran Ilegal,,08/06/2017,09:50,124.9032935,-6.60051516,Laut Banda,MV Gadila,Yemen,Kpl Layar,160,IMO 38781,GDW20110,91825,Sandar,PT. Rush Cargo Nusantara,Ira Pengesti,Buano,Damar,Lili Tampi,Iran,,,,C,2,KKP,Kpl Militer
Imigran Ilegal,,28/09/2019,14:55,117.5861181,-6.6281364,Laut Flores,MT Stolt Valor,Jan Mayen,Kargo/Barang,118,IMO 32244,YVV142025,18116,Layar,PT. Perishable Logistics Indonesia,Jns,Teluk Palu,Badas,Vyacheslav Lyskov,Trinidad & Tobago,,,,A,4,Bea Cukai,Kpl Ikan
Imigran Ilegal,,08/12/2019,17:05,107.14269,-4.79362,Laut Jawa,Osaka Express,Cuba,Kpl Kayu,113,IMO 96792,HWW221,57587,Sandar,PT. Makis Indonesia Utama,Helle Thorning,Makassar,Merauke,Broery Marantika,French Guiana,,,,A,1,KKP,Kpl Nelayan
Imigran Ilegal,,31/10/2014,07:40,121.3769099,2.6240028,Laut Sulawesi,MV Harpa,Senegal,Kpl Ikan,123,IMO 86171,JZO7158,43655,Lego,PT. Direga Rayakonsult,Gene Kelly,Kresek/Kronjo,Muara Padang,Riyad Farid Hijab,Portugal,,,,B,2,TNI AU,Kpl Ro-Ro
Imigran Ilegal,,12/04/2018,16:40,123.3293895,3.01247236,Laut Sulawesi,MV Harpa,Suriname,Kpl Pesiar,120,IMO 41223,BRX142511,31871,Lego,PT. Abjad Barco Lamhin,Kie,Eray,Badas,Yasir,Thailand,,,,A,3,TNI AU,Kpl Militer
Imigran Ilegal,,06/11/2015,06:05,123.3854825,2.72528244,Laut Sulawesi,NYK Vega,Bahrain,Speed Boat,109,IMO 94441,MYA121124,83437,Lego,PT. Central Express,la Rocha,Kuala Jelay,Kintap,Courteney Cox,The Bahamas,,,,F,2,TNI,Kpl Pengeruk/Dredger
Imigran Ilegal,,26/08/2016,17:25,128.5219877,-5.88449983,Laut Banda,MS Stolt Surf,Belarus,Kpl Peti Kemas/Container,205,IMO 88274,RJN6119,23869,Lego,PT. Atlas Transindo Raya,Castro Irizbal,Glimandangin,Bunyu,Def Leppard,Wallis & Futuna,,,,F,4,Polri,Kpl Pemadam Kebakaran/Fireboat
Imigran Ilegal,,22/01/2017,12:00,110.98191,-6.11071,Laut Jawa,CMA CGM Thalassa,Thailand,Kpl Ikan,125,IMO 37258,NZZ8312,96375,Sandar,PT. Elnusa Petrofin,No Min-woo,Natal / Sikara-kara,Pulau Kampai,Longfellow,Slovakia,,,,E,2,TNI AL,Kpl Selam
Imigran Ilegal,,17/03/2014,05:35,128.6818259,-4.5319071,Laut Banda,MT Trochus,Slovakia,Penumpang,236,IMO 85524,GRL10411,39537,Sandar,"PT. Regal Integra Makmur, Tbk",Kiichi Miyazawa,Papela,Kalbut,Mikhail Kukushkin,Papua New Guinea,,,,B,5,Bakamla,Kpl Layar
Imigran Ilegal,,28/06/2017,06:30,119.8094109,4.30400785,Laut Sulawesi,SS Delphic,Somalia,Tongkang,141,IMO 92426,VKS31911,51635,Lego,CV. Graha Multi Sarana,Pardo y,Sei Berombang,Legon Bajak,Contessa,Japan,,,,D,4,TNI AL,Kpl Nelayan
Imigran Ilegal,,29/06/2017,02:35,124.1379274,2.19361065,Laut Sulawesi,MS Stolt Surf,Nepal,Tug Boat/Kpl Tunda,214,IMO 76891,JDT2696,27799,Sandar,PT. QQ World Express,Dawoud,Pulau Mules,Pulau Tello,Matti Vanhanen,Turks & Caicos Is.,,,,A,3,Bakamla,Kpl Pemadam Kebakaran/Fireboat
Imigran Ilegal,,18/09/2019,09:05,108.61427,-5.65374,Laut Jawa,SS Bessemer Victory,Puerto Rico,Kpl Ikan,105,IMO 79764,FLN16516,46992,Lego,PT. Indomontas Karya Mandiri,Hye-jeong,Pasean,Maidi,Charles XV,Anguilla,,,,C,3,TNI AU,Kpl Kayu
Imigran Ilegal,,30/12/2019,17:05,108.47568,-5.14602,Laut Jawa,Hansa Carrier,Switzerland,Supply Ship,107,IMO 31511,FKM14185,16212,Layar,PT. Arsita Utama Indonesia,Mara Martn Bejarano-Serrano,Ambo,Pulau Seluan,Weni,Georgia,,,,D,6,TNI AU,Tanker
Imigran Ilegal,,02/07/2015,08:45,109.77186,-5.36446,Laut Jawa,MV DenDen,St. Pierre & Miquelon,Kpl Kayu,237,IMO 99497,SNU11724,44791,Layar,PT. Primajaya Abadi Logistik,Gamalama,Wini,Merauke,Georges,Iran,,,,D,2,Bakamla,Kpl Layar
Imigran Ilegal,,07/04/2015,21:05,123.6173954,4.22453806,Laut Sulawesi,SS Desabla,Colombia,Kpl Peti Kemas/Container,239,IMO 76484,VXZ3120,19566,Lego,PT. Trimudilah Inti Mandiri,Sh,Kepulauan Seribu,Brondong,Koichiro,American Samoa,,,,E,5,TNI AL,Kpl Peti Kemas/Container
Imigran Ilegal,,07/10/2018,09:10,137.9679235,1.34048569,Laut Halmahera,SS Fatima,Argentina,Kpl Pengeruk/Dredger,121,IMO 92433,ZVR573,64776,Lego,PT. Toyo Pack Prima Mandiri,Pattinasarani,Muntok,Kepulauan Seribu,Kartika Putri,Sao Tome & Principe,,,,B,2,TNI,Kpl Ro-Ro
Imigran Ilegal,,02/02/2018,22:50,108.71021,-5.54866,Laut Jawa,SS Bandirma,Dominican Republic,Kargo/Barang,233,IMO 91116,ZIY242411,93628,Lego,PT. Indah Yatama,Leeuwenhoek,Wulur,Tuhaha,Junji Nishikawa,Morocco,,,,F,1,Bakamla,Tongkang
Imigran Ilegal,,19/01/2015,18:35,132.9136363,0.64837363,Laut Halmahera,MS Antenor,Jamaica,Kpl Layar,213,IMO 89441,JFM26192,36573,Sandar,PT. Hero Super Market ,Ignatius L.,Mansinam,Pasean,Yves Chaland,Gaza Strip,,,,B,2,Polri,Survey/Kpl Survei
Imigran Ilegal,,08/06/2017,04:05,125.8920094,-4.29317917,Laut Banda,MSC Cordoba,Gibraltar,Tug Boat/Kpl Tunda,197,IMO 72991,OFS111221,44115,Sandar,PT. Paramas Permata,Afonso Augusto Moreira,Eci,Pekalongan,Hyuk,Somalia,,,,C,6,TNI AD,Kpl Layar
Imigran Ilegal,,06/11/2019,13:40,116.9096544,-6.97958853,Laut Flores,MV Alexia,Germany,Kpl Pesiar,163,IMO 38255,BPM261116,36877,Lego,PT. Mekar Lintas Nusa,Jean Jacques Challet Venel,Serasan,Gita Payahe,France-Albert,Grenada,,,,B,1,Polri,Kpl Ro-Ro
Imigran Ilegal,,19/06/2017,14:10,118.6152537,-7.2464896,Laut Flores,MV Jindal Kamakshi,Colombia,Kpl Peti Kemas/Container,128,IMO 71467,EJJ161017,88573,Sandar,PT. Uni Logistik Indonesia,Nicols Lindley Lpez,Tanjung Uban / Teluk Sasah,Bungku,Charlie Whiting,"Congo, DRC",,,,B,3,Bakamla,Kpl Pemadam Kebakaran/Fireboat
Imigran Ilegal,,10/02/2019,06:45,126.119681,-4.71381939,Laut Banda,Aranui 3,Malaysia,Tanker,120,IMO 75295,RDL151224,27592,Lego,PT. Hero Super Market ,Ould Mohamed Vall,Gunung Sitoli,Depapre,Salif,Tokelau,,,,D,2,TNI AL,Kpl Militer
Imigran Ilegal,,03/07/2019,23:05,124.2360249,2.11694071,Laut Sulawesi,MV Colombo Express,Norway,Survey/Kpl Survei,214,IMO 82742,ZCV141923,16428,Sandar,PT. Biro Grata Mandiri,Javad Kazemian,Wanci,Glimandangin,Rajo Gampo Alam,Jamaica,,,,E,2,TNI AU,Kpl Ro-Ro
Imigran Ilegal,,23/03/2016,21:50,116.6826043,-6.87934651,Laut Flores,MSC Carmen,Greenland,Kpl Peti Kemas/Container,156,IMO 48417,ZMN192625,87245,Layar,PT. Pusaka Cakra,Pro,Bau-Bau/Murhum,Taniwel,Hadi Sukatno,Djibouti,,,,D,2,TNI AL,Bulker/Kpl Pengangkut Barang Curah
Imigran Ilegal,,02/08/2017,16:50,117.2064139,-6.53054955,Laut Flores,SS Cufic,Honduras,Kpl Nelayan,104,IMO 67837,TCY1598,49964,Layar,PT. Bintang Buana Kargotama,Kopnek,Singkawang,Pasokan,Nasser Amir,St. Lucia,,,,A,4,Polri,Kpl Layar
Imigran Ilegal,,06/02/2014,18:45,124.3241574,2.40769996,Laut Sulawesi,Axel Mærsk,Spain,Kpl Peti Kemas/Container,215,IMO 57226,ZKC12261,82321,Sandar,PT. Lion Express,Wook,Kereng Bengkirai,Pangkalan Susu,Syafii Djamal,Cook Is.,,,,A,5,TNI,Survey/Kpl Survei
Imigran Ilegal,,01/08/2018,04:15,118.9490452,-7.04580373,Laut Flores,SS Belgic ||,Northern Mariana Is.,Tug Boat/Kpl Tunda,162,IMO 91496,YED101022,68913,Layar,PT. Uni Logistik Indonesia,Jouke Sondakh,Batu Atas,Galesong,Dimas Djayadiningrat,Falkland Is.,,,,E,3,Bakamla,Tongkang
Imigran Ilegal,,16/10/2016,03:50,123.7924753,3.56880783,Laut Sulawesi,USS Allioth (AK-109),Kazakhstan,Kpl Kayu,102,IMO 33155,QTA14121,78174,Lego,PT. Kargo Dua Empat,Harta Yudana,Binongko,Kobisadar,Dallila Azkadiputra,Singapore,,,,D,4,Bakamla,Kargo/Barang
Imigran Ilegal,,18/02/2016,18:10,123.5088564,2.80360273,Laut Sulawesi,MS Stolt Surf,Ethiopia,Kpl Selam,202,IMO 97814,LXP13716,74832,Lego,PT. Catur Ekapurcanga Indah,A. Murady Darmansjah,Baranusa,Tarempa,Callsen Bracker,Norfolk I.,,,,A,6,TNI AD,Speed Boat
Imigran Ilegal,,24/03/2015,08:40,136.3762974,1.44390886,Laut Halmahera,"Emma Mærsk, container ship for Maersk Line",Eritrea,Tug Boat/Kpl Tunda,164,IMO 68299,TIV2015,22756,Sandar,PT. Belt Logistik Indonesia,Al-Ahmad,Hila/Romang,Kempo,Edsel,Bulgaria,,,,E,5,Bakamla,Kpl Pengeruk/Dredger
Imigran Ilegal,,15/08/2014,12:10,133.0638856,2.11948206,Laut Halmahera,MV Vikartindur,Jan Mayen,Tanker,128,IMO 78512,LNF17324,22956,Layar,PT. Bintang Buana Kargotama,Richard Windbichler,Pulau Banyak,Lhokseumawe/Kreung Geukeh,Kartakusuma,Cambodia,,,,E,1,KKP,Tug Boat/Kpl Tunda
Imigran Ilegal,,26/07/2018,18:20,125.3480972,-6.41646701,Laut Banda,SS Medic,St. Helena,Kpl Layar,230,IMO 22495,XVM151725,15957,Layar,CV. Mitranda,Michael Agazzi,Sangsit,Komodo,Victor Davis,Madagascar,,,,A,6,TNI AU,Kpl Ro-Ro
Imigran Ilegal,,27/10/2014,08:55,127.2858135,-5.63308596,Laut Banda,SS Atlantic Conveyor,Syria,Bulker/Kpl Pengangkut Barang Curah,142,IMO 71586,FBH20234,36764,Layar,PT. Mediacom TV,Ashton Kutcher,Gilimanuk,Gorom,Pahlevi Indra,Cocos Is.,,,,E,2,Bea Cukai,Kpl Nelayan
Imigran Ilegal,,02/06/2016,12:40,138.0015143,0.42300997,Laut Halmahera,USS Aludra (AK-72),Greece,Kpl Selam,187,IMO 86965,XDZ141017,97719,Lego,PT. Nafiri Fajar Kemilau,Agni,Kakorotan,Labuhan Uki,Mario Toki,Comoros,,,,D,6,Bea Cukai,Kpl Peti Kemas/Container
Imigran Ilegal,,04/07/2019,12:25,123.8367137,3.48330889,Laut Sulawesi,SS Nomadic,Romania,Kpl Pemadam Kebakaran/Fireboat,217,IMO 11111,YWX72512,25314,Sandar,PT. Mitra Buana Express,N'Zogbia,Damar,Lewoleba,Shanmukham,Panama,,,,A,4,TNI AD,Penumpang
Imigran Ilegal,,22/03/2019,18:45,106.91697,-4.62358,Laut Jawa,MV Maj. Bernard F. Fisher (T-AK-4396),Liberia,Kpl Militer,129,IMO 48954,DCM15142,57836,Sandar,PT. Aix Indologis Exspress,E.H. Nizar Datuk Kayo,Parigi,Dompak,Bebi Romeo,Gibraltar,,,,B,4,TNI,Kpl Pengeruk/Dredger
Imigran Ilegal,,15/04/2015,17:35,137.9486395,1.2276797,Laut Halmahera,MV Avenue Star,Chad,Kargo/Barang,201,IMO 95725,BIL24424,17394,Sandar,PT. Indologistik Kurir Internusa,Ody Mulya Hidayat,Kuala Jelay,Anyer Lor,Lipnicki,Virgin Is.,,,,B,1,TNI,Kpl Pemerintah
Imigran Ilegal,,20/04/2019,23:30,118.0779064,-6.87619068,Laut Flores,Shuttle tanker,Mongolia,Kpl Nelayan,180,IMO 97626,DJD17714,52115,Lego,PD. Guma Karya,Joseph E.,P. Sabutung,Tanjung Beringin,Abidin Domba,Sudan,,,,B,5,KKP,Kargo/Barang
Imigran Ilegal,,21/03/2015,02:20,129.2910885,-5.79450375,Laut Banda,"Maharshi Bhardwaj, LPG Tanker*Mesaimeer, LNG Tanker",Cook Is.,Tongkang,119,IMO 77157,KMJ101319,96631,Lego,PT. Astragraphia Xprins indonesia,Imata,Galesong,Wayabula/Posi-Posi,Lisardi,Comoros,,,,A,3,Polri,Speed Boat
Imigran Ilegal,,07/03/2015,19:10,110.41537,-5.13448,Laut Jawa,"Umm Laqhab, LPG Tanker",Solomon Is.,Kpl Pemadam Kebakaran/Fireboat,131,IMO 98477,TDT61010,79212,Layar,PT. Nafastindo Trans Logistik,Mudzaffar Shah II,Tabarfane,P. Sebesi,Pinkett,Jan Mayen,,,,C,6,Polri,Kpl Selam
Imigran Ilegal,,12/09/2018,14:30,129.3716882,-6.43802851,Laut Banda,MS Star Clipper,Western Sahara,Supply Ship,166,IMO 31725,SDG14514,26456,Layar,PT. Nursal Kurnia Abadi,Zdenk,Melonguane,Manitingting,Colin Kolles,San Marino,,,,E,2,Bea Cukai,Kpl Pengebor/Drillship
Imigran Ilegal,,17/03/2014,00:40,125.2592114,-6.3043947,Laut Banda,MV Star Osakana,Denmark,Kpl Pemerintah,246,IMO 19114,YFQ5912,11121,Sandar,PT. Indoexpress Logistics,Craig Lynch,Bicoli,Langara,Rena Nozawa,Bermuda,,,,E,2,KKP,Kargo/Barang
Imigran Ilegal,,26/04/2019,02:35,126.0714991,-5.2600647,Laut Banda,MV Star Osakana,Haiti,Survey/Kpl Survei,244,IMO 29153,VCR172224,75437,Layar,PT. Bahtera Dunia Pratama,Lukas Schmitz,Nusa Penida (Toyapakeh),Pulau Salura,Marie Bashir,Jamaica,,,,A,2,TNI AD,Tug Boat/Kpl Tunda
Imigran Ilegal,,03/04/2015,01:55,126.3345235,-4.53857079,Laut Banda,SS Runic,Niue,Kpl Pesiar,243,IMO 23555,FWU121017,37536,Layar,PT. Indonusa Putra Mandiri,Constant Feith,Luwuk,Selayar/Benteng/Rauf Rahman,Micha Kucharczyk,Jarvis I.,,,,A,5,Bakamla,Kpl Pemerintah
Imigran Ilegal,,07/09/2017,14:05,133.8353992,-0.05741555,Laut Halmahera,Osaka Express,Guinea,Kpl Layar,196,IMO 18325,OMK4410,76916,Sandar,PT. Jaya Halim Cargo,Neymar,Tanjung Laut,Dapalan,Ebenna Ezeria Pardede,Mongolia,,,,A,5,Bakamla,Kpl Pesiar
Imigran Ilegal,,26/03/2019,03:05,130.3613966,2.18322663,Laut Halmahera,SS Cufic,Belgium,Supply Ship,230,IMO 58982,QRP91417,39177,Sandar,PT. Transindo Xpress,F. Codd,Bajoe,Satui/Batu licin,Gillani,Bangladesh,,,,B,6,TNI AU,Speed Boat
Imigran Ilegal,,26/07/2015,10:30,124.3428584,4.39577058,Laut Sulawesi,MV Ascension,Pakistan,Tug Boat/Kpl Tunda,140,IMO 82357,WTN20121,64717,Layar,PT. Mandiri Global Sejahtera Express,Sergei Eduardovich,Tutu Kembong,Teluk Betung,Gottlieb Nipkow,Tunisia,,,,A,1,TNI AU,Tug Boat/Kpl Tunda
Imigran Ilegal,,03/05/2014,07:15,122.2420043,2.85094605,Laut Sulawesi,MV Cristina A,Malawi,Kpl Pesiar,221,IMO 15128,IBC171415,39327,Sandar,Toko Obat Bandung,Kyu-sik,Calang,Fogi,Kalkot,St. Pierre & Miquelon,,,,E,3,TNI,Kpl Ikan
Imigran Ilegal,,25/11/2019,01:10,122.1934285,4.31151219,Laut Sulawesi,"Edith Mærsk, container ship for Maersk Line",Malta,Kpl Militer,143,IMO 66564,VVF20416,23256,Lego,PD. Anugerah Sejati,Marcio Souza da Silva,Dabo Singkep,Waiwuring,David Henen,Vanuatu,,,,E,2,KKP,Kargo/Barang
Imigran Ilegal,,14/07/2018,16:15,125.9618715,-6.28969122,Laut Banda,MV Maj. Bernard F. Fisher (T-AK-4396),St. Helena,Kpl Penyelamat/Lifeboat,163,IMO 42927,UXT7410,52482,Layar,PT. Digdaya Galang Semesta,Vladimir Azarov,Bau-Bau/Murhum,Kadatua,Szohr,Western Sahara,,,,D,2,Bea Cukai,Kpl Derek/Crane
Imigran Ilegal,,08/08/2014,23:40,129.4034568,-6.12869293,Laut Banda,SS Belgic ||||,Mozambique,Kpl Ikan,176,IMO 21651,RPG81521,36763,Lego,PT. Pumasera Mitra Sejahtera,Ve-Freiberga,Awerange/Barru,Indramayu,Muhammad Saleh Werdisastro,The Bahamas,,,,B,1,TNI AL,Tanker
Imigran Ilegal,,20/04/2014,03:10,110.49496,-5.24244,Laut Jawa,USS Ara (AK-136),French Polynesia,Kpl Nelayan,215,IMO 95963,YAH2311,22437,Lego,PT. Rekakurir Eka Dharma,Djudjuk,Merauke,Paniti,Aziz Ab'Saber,Botswana,,,,A,5,Bakamla,Kpl Derek/Crane
Imigran Ilegal,,31/07/2014,04:10,108.9918,-5.19592,Laut Jawa,MSC Cordoba,Tokelau,Speed Boat,189,IMO 15423,HXT171619,42376,Layar,PT. Lion Express,Gustafson,Kaledupa,Bumbulan,Nu'man,French Southern & Antarctic Lands,,,,E,2,KKP,Kpl Pemadam Kebakaran/Fireboat
Imigran Ilegal,,27/03/2015,14:35,120.8181215,3.31145174,Laut Sulawesi,MV Virginian (T-AK 9205),Lebanon,Kpl Peti Kemas/Container,220,IMO 77837,CFJ25204,78922,Layar,PT. Mitra Utama Sejahtera Logistik,Groban,Kepulauan Seribu,Biringkasi,Jim Geovedi,Gabon,,,,C,6,Polri,Kpl Pemerintah
Imigran Ilegal,,16/08/2018,06:00,137.9656558,2.27263959,Laut Halmahera,USS Appanoose (AK-226),Myanmar,Kpl Ikan,158,IMO 31729,ARQ71312,33549,Layar,Graha Elang,Deguchi,Batu Goyang,Tegal,Boateng,Maldives,,,,B,3,Polri,Kargo/Barang
Imigran Ilegal,,22/09/2015,12:10,135.5433316,1.23732279,Laut Halmahera,Thomas W. Lawson,Japan,Kpl Penyelamat/Lifeboat,230,IMO 62466,GPH24169,29221,Sandar,PT. Sinar Anugerah Eka,Yoshihiro Fukagawa,Kalibaru,Kataloka/Ondor,Oh In Kyun,Virgin Is.,,,,B,5,Polri,Tanker
Imigran Ilegal,,21/02/2014,18:00,125.798569,-4.18639246,Laut Banda,MV Amastra,Congo,Kpl Peti Kemas/Container,196,IMO 69149,MNQ101912,95298,Layar,PT. Mitra Utama Sejahtera Logistik,Abdoulaye Wade,Karimun Jawa,Midai,Ruben Wuarbanaran,Falkland Is.,,,,E,5,TNI AL,Kpl Pemadam Kebakaran/Fireboat
Imigran Ilegal,,30/04/2018,09:35,128.5590728,-5.51765556,Laut Banda,MV Capt. Steven L. Bennett (T-AK-4296),Benin,Bulker/Kpl Pengangkut Barang Curah,173,IMO 68368,FIE7312,86125,Layar,PT. Digdaya Galang Semesta,Iqbal Khan,P. Sebesi,Singkawang,Gisella Anastasia,Bosnia & Herzegovina,,,,F,4,TNI,Tug Boat/Kpl Tunda
Imigran Ilegal,,23/07/2015,10:40,122.9166584,2.73146141,Laut Sulawesi,MT Trochus,Iceland,Tanker,106,IMO 75392,ZNR9211,61781,Lego,Game Master,Anggara Jenie,Siompu,Sungsang,Dembl,Bermuda,,,,C,5,Polri,Kpl Pemadam Kebakaran/Fireboat
Imigran Ilegal,,03/07/2017,11:45,120.0643308,-7.37296615,Laut Flores,USS Bali (ID-2483),Bulgaria,Kpl Ikan,186,IMO 32157,XSB17231,63571,Sandar,PT. Waskita Elang Perkasa,Elizondo,Bonerate,Tanjung Priok,Kysti Kallio,Azerbaijan,,,,F,1,Bakamla,Kpl Pengebor/Drillship
Imigran Ilegal,,27/11/2017,02:20,130.2561102,-5.30029432,Laut Banda,MV Tampa,Lesotho,Bulker/Kpl Pengangkut Barang Curah,111,IMO 64131,NNV24524,12487,Lego,PT. Mitra Berjaya Sukses Sejahtera,Stevani,Saukorem,Galesong,Chakhir,Ukraine,,,,B,4,Polri,Speed Boat
Imigran Ilegal,,01/08/2014,03:40,121.0435614,3.11715749,Laut Sulawesi,MV Maj. Bernard F. Fisher (T-AK-4396),Suriname,Tongkang,126,IMO 12178,JIZ122318,96555,Layar,PT. Gumay Tama Bersaudara,Djohermansyah,Galela,Serasan,Joe Cole,United Arab Emirates,,,,F,1,TNI AU,Kpl Derek/Crane
Imigran Ilegal,,13/02/2016,18:10,106.58526,-3.84497,Laut Jawa,MCP Altona,Kuwait,Penumpang,222,IMO 99192,CKW10212,54959,Lego,PT. Paramas Permata,Eduard Buliya,Loleo Jaya,Waiwole,Unu,French Guiana,,,,B,2,TNI AL,Survey/Kpl Survei
Imigran Ilegal,,16/04/2017,07:55,127.1367397,-5.25399871,Laut Banda,MS Antenor,Syria,Penumpang,243,IMO 84864,TJQ5237,16495,Lego,PT. Bank Nisp,Takaki,Moti,Lakor,der,St. Helena,,,,A,5,TNI AU,Kpl Derek/Crane
Imigran Ilegal,,04/01/2016,15:55,128.4482047,-6.1780889,Laut Banda,SS Prospector,Madagascar,Kpl Derek/Crane,248,IMO 65538,YRO7815,77281,Sandar,PT. Indomarco Primata,Michel Preud'homme,Muara Sabak,Malenge,Jimmie Johnson,Guadeloupe,,,,F,5,TNI AU,Tongkang
Imigran Ilegal,,28/10/2014,23:00,109.27433,-4.5547,Laut Jawa,MV Alexia,Italy,Kpl Ro-Ro,217,IMO 68635,KPJ262613,12685,Lego,PT. Kharisma Tekad Karya,Amir Syamsuddin,Bunta,Dapalan,Cha Soo-yeon,Malta,,,,D,5,Bakamla,Kpl Peti Kemas/Container
Imigran Ilegal,,09/07/2018,02:30,127.1959214,-4.30290534,Laut Banda,Thomas W. Lawson,Slovenia,Kargo/Barang,151,IMO 88721,GGS1945,67538,Sandar,PT. Nursal Kurnia Abadi,Bustami A. Gani,Sei Kolak Kijang,Sarmi,Julio Csar Turbay Ayala,Tonga,,,,F,5,Bea Cukai,Bulker/Kpl Pengangkut Barang Curah
